ID,Title,Content,Excerpt,Date,"Post Type",Permalink,Languages,Locations,Types,Categories,"Author Email","Author First Name","Author Last Name",_media_lib_author,_media_lib_file,_media_lib_file2
321,"Capitalisation de l'experience de la DNH et de la SNV","Ce projet vise la mise à disposition de la DNH des données et informations exhaustives par rapport à l’accès et la qualité de l’eau potable des populations des villages, hameaux, sites, centres ruraux, centres semi urbains et urbains par un inventaire exhaustif des différents ouvrages hydrauliques et leurs données techniques et un test de l’analyse de la qualité de l’eau dans une zone limitée. Cette zone test sera définie en étroite collaboration avec la DNH.",,2016-06-22,media,https://pemmali.org/media/capitalisation-de-lexperience-de-la-dnh-et-de-la-snv/,,Mali,PDF,Rapport,lars@akvo.org,Lars,Heemskerk,SNV,http://dnh-mali-atlas-eau.org/wp-content/uploads/sites/24/2016/06/Capitalisation-de-lexpérience-de-la-DNH-et-de-la-SNV-3-300516.pdf,
327,"Introduction-Objectifs et Resultats de l'atelier de formation","Objectifs et Résultats de l’Atelier de formation des Enquêteurs Du 10 au 13 Novembre 2015.",,2016-06-23,media,https://pemmali.org/media/introduction-objectifs-et-resultats-de-latelier-de-formation/,,Mali,PPT,Presentation,lars@akvo.org,Lars,Heemskerk,DNH,http://dnh-mali-atlas-eau.org/wp-content/uploads/sites/24/2016/06/Introduction-Objectifs-et-Résultats-de-latelier-de-formation-des-Enquêteurs.pptx,http://dnh-mali-atlas-eau.org/wp-content/uploads/sites/24/2016/06/Presentation-Objectifs-et-Résultats-de-latelier-lancement-Inventaire-National-des-PEM-1.pptx
330,"Presentation Projet Inventaire National des PEM","PROJET D’INVENTAIRE NATIONAL DES POINTS D’EAU MODERNES DU MALIATELIER DE LANCEMENT DU 05 AU 08 /10/2015",,2016-06-23,media,https://pemmali.org/media/presentation-projet-inventaire-national-des-pem/,,Mali,PPT,Presentation,lars@akvo.org,Lars,Heemskerk,DNH,http://dnh-mali-atlas-eau.org/wp-content/uploads/sites/24/2016/06/Presentation-Objectifs-et-Résultats-de-latelier-lancement-Inventaire-National-des-PEM.pptx,
334,"Plan Operationnel du projet Inventaire National des PEM","Plan opérationnel du projet Inventaire National des points d’eau modernes du Mali. Atelier de lancement du projet d’Inventaire National des ouvrages Hydrauliques du Mali . 5 et 6 Octobre 2015 Maison du Partenariat à Bamako",,2016-06-23,media,https://pemmali.org/media/plan-operationnel-du-projet-inventaire-national-des-pem/,,Bamako,PPT,"Plan operationnel",lars@akvo.org,Lars,Heemskerk,DNH,http://dnh-mali-atlas-eau.org/wp-content/uploads/sites/24/2016/06/Presentation-Plan-Opérationnel-du-projet-Inventaire-National-des-PEM.pptx,
337,"Rapport de mission 2e supervision","Ce rapport est une description de l’état d’avancement des travaux sur le terrain. Il porte essentiellement sur l’évolution des opérations de collecte de données.",,2016-06-23,media,https://pemmali.org/media/rapport-de-mission-2e-supervision/,,Mali,PDF,,lars@akvo.org,Lars,Heemskerk,SNV,http://dnh-mali-atlas-eau.org/wp-content/uploads/sites/24/2016/06/Rapport-de-mission-2e-supervision_VP-du-22-Janvier-.pdf,
488,"Situation des points d'eau dans la COMMUNE DE SOMO","Situation des points d'eau dans la COMMUNE DE SOMO region de Segou, cercle BARAOUELI;
<ul>
 	<li>TAUX D'EQUIPEMENT EN PEM</li>
 	<li>LOCALISATION DES POINTS D'EAU MODERNES</li>
 	<li>ANCIENNETE DES FORAGES EQUIPES DE POMPES</li>
 	<li>COUVERTURE DES BESOINS EN EAU</li>
</ul>
&nbsp;",,2016-10-03,media,https://pemmali.org/media/situation-des-points-deau-dans-la-commune-de-somo/,,,PDF,,lars@akvo.org,Lars,Heemskerk,"Direction Nationale Hydraulique",http://dnh-mali-atlas-eau.org/wp-content/uploads/sites/24/2016/10/Situation-des-points-deau-dans-la-COMMUNE-DE-SOMO.pdf,
987,"METHODE DE CALCUL","Methode de calcul du taux d'acces, taux d'equipement et le taux de fonctionalité.",,2016-10-06,media,https://pemmali.org/media/methode-de-calcul/,,,PDF,Presentation|Rapport,lars@akvo.org,Lars,Heemskerk,"Direction Nationale Hydraulique",http://dnh-mali-atlas-eau.org/wp-content/uploads/sites/24/2016/10/MethodeCalculTauxAccesEauPotable_DNH.pdf,
1379,"STRATEGIE DE SUIVI ET D’EVALUATION DES  RESSOURCES EN EAU DU MALI","Le présent document de stratégie fait le point sur:

la situation actuelle de la connaissance et de l’évaluation des ressources en eau de surface (pérennes et non pérennes) et souterraines et la maîtrise de la demande en eau ;
l’état actuel des réseaux de suivi quantitatif et qualificatif des ressources en eau ;
le déroulement du mécanisme du suivi depuis la collecte des données jusqu’à sa
diffusion ou son exploitation par les différents utilisateurs et acteurs du secteur ;

les contraintes et les difficultés techniques, matérielles, institutionnelles et organisationnelles qui entravent la maîtrise, la pérennité et le bon déroulement de ces actions et mécanismes",,2016-12-09,media,https://pemmali.org/media/strategie-de-suivi-et-devaluation-des-ressources-en-eau-du-mali/,,Mali,PDF,Strategie,birama@Akvo.org,,,DNH,http://dnh-mali-atlas-eau.org/wp-content/uploads/sites/24/2016/12/Strategie-Nationale-Suivi-Evaluation-Ressources-Eau-version-.pdf,
1381,"STRATÉGIE NATIONALE DE DEVELOPPEMENT DE L’ALIMENTATION EN EAU POTABLE AU MALI","Le présent document constitue la relecture de la stratégie de mars 2000 . Il présente la situation actuelle du secteur de l’alimentation en eau potable en faisant un rappel du cadre législatif et réglementaire, des mécanismes de financement, du rôle des acteurs, des difficultés et contraintes ainsi que des opportunités de développement.",,2016-12-09,media,https://pemmali.org/media/strategie-nationale-de-developpement-de-lalimentation-en-eau-potable-au-mali/,,,PDF,,birama@Akvo.org,,,DNH,http://dnh-mali-atlas-eau.org/wp-content/uploads/sites/24/2016/12/Stratégie-AEP-VF-du-28.05.07.pdf,
1384,"CODE DE L’EAU LOI N°02- 006/ DU 31 JANVIER 2002","Ce document présente les lois en vigueur dans le domaine de l'eau adoptées et délibérées le 13 décembre 2001 par l’Assemblée Nationale. On y trouve :

1. DES DISPOSITIONS GENERALES

2. DE LA GESTION ET DE LA PROTECTION DU DOMAINE HYDRAULIQUE

3. DES ORGANES CONSULTATIFS DANS LA GESTION DES RESSOURCES EN EAU

4. DES DISPOSITIONS PENALES",,2016-12-09,media,https://pemmali.org/media/code-de-leau-loi-n02-006-du-31-janvier-2002/,,,PDF,,birama@Akvo.org,,,"Assemblée Nationale",http://dnh-mali-atlas-eau.org/wp-content/uploads/sites/24/2016/12/Code-de-leau.pdf,
